split,dataset,scenario,iteration,best_k,f1_score,accuracy
within,features,all,1,1,0.8108,0.8303
within,features,pca,1,1,0.7641,0.7809
within,features,relieff,1,1,0.7527,0.7679
within,features,all,2,1,0.8166,0.8385
within,features,pca,2,1,0.7631,0.7849
within,features,relieff,2,1,0.7015,0.7205
within,features,all,3,1,0.8169,0.8350
within,features,pca,3,1,0.7724,0.7906
within,features,relieff,3,1,0.7029,0.7241
within,features,all,4,1,0.8182,0.8370
within,features,pca,4,1,0.7629,0.7855
within,features,relieff,4,3,0.7601,0.7793
within,features,all,5,1,0.8151,0.8318
within,features,pca,5,1,0.7644,0.7846
within,features,relieff,5,1,0.7049,0.7187
within,features,all,6,1,0.8177,0.8397
within,features,pca,6,1,0.7753,0.7926
within,features,relieff,6,3,0.7148,0.7314
within,features,all,7,3,0.8130,0.8290
within,features,pca,7,1,0.7674,0.7846
within,features,relieff,7,1,0.7398,0.7574
within,features,all,8,1,0.8114,0.8314
within,features,pca,8,1,0.7756,0.7929
within,features,relieff,8,1,0.7360,0.7537
within,features,all,9,1,0.8188,0.8356
within,features,pca,9,1,0.7623,0.7802
within,features,relieff,9,1,0.7325,0.7519
within,features,all,10,1,0.8149,0.8341
within,features,pca,10,1,0.7708,0.7895
within,features,relieff,10,1,0.7473,0.7681
within,features,all,1,1,0.8108,0.8303
within,features,pca,1,1,0.7641,0.7809
within,features,relieff,1,1,0.7527,0.7679
within,features,all,2,1,0.8166,0.8385
within,features,pca,2,1,0.7631,0.7849
within,features,relieff,2,1,0.7015,0.7205
within,features,all,3,1,0.8169,0.8350
within,features,pca,3,1,0.7724,0.7906
within,features,relieff,3,1,0.7029,0.7241
within,features,all,4,1,0.8182,0.8370
within,features,pca,4,1,0.7629,0.7855
within,features,relieff,4,3,0.7601,0.7793
within,features,all,5,1,0.8151,0.8318
within,features,pca,5,1,0.7644,0.7846
within,features,relieff,5,1,0.7049,0.7187
within,features,all,6,1,0.8177,0.8397
within,features,pca,6,1,0.7753,0.7926
within,features,relieff,6,3,0.7148,0.7314
within,features,all,7,3,0.8130,0.8290
within,features,pca,7,1,0.7674,0.7846
within,features,relieff,7,1,0.7398,0.7574
within,features,all,8,1,0.8114,0.8314
within,features,pca,8,1,0.7756,0.7929
within,features,relieff,8,1,0.7360,0.7537
within,features,all,9,1,0.8188,0.8356
within,features,pca,9,1,0.7623,0.7802
within,features,relieff,9,1,0.7325,0.7519
within,features,all,10,1,0.8149,0.8341
within,features,pca,10,1,0.7708,0.7895
within,features,relieff,10,1,0.7473,0.7681
within,features,all,1,1,0.8108,0.8303
within,features,pca,1,1,0.7641,0.7809
within,features,relieff,1,1,0.7527,0.7679
within,features,all,2,1,0.8166,0.8385
within,features,pca,2,1,0.7631,0.7849
within,features,relieff,2,1,0.7015,0.7205
within,features,all,3,1,0.8169,0.8350
within,features,pca,3,1,0.7724,0.7906
within,features,relieff,3,1,0.7029,0.7241
within,features,all,4,1,0.8182,0.8370
within,features,pca,4,1,0.7629,0.7855
within,features,relieff,4,3,0.7601,0.7793
within,features,all,5,1,0.8151,0.8318
within,features,pca,5,1,0.7644,0.7846
within,features,relieff,5,1,0.7049,0.7187
within,features,all,6,1,0.8177,0.8397
within,features,pca,6,1,0.7753,0.7926
within,features,relieff,6,3,0.7148,0.7314
within,features,all,7,3,0.8130,0.8290
within,features,pca,7,1,0.7674,0.7846
within,features,relieff,7,1,0.7398,0.7574
within,features,all,8,1,0.8114,0.8314
within,features,pca,8,1,0.7756,0.7929
within,features,relieff,8,1,0.7360,0.7537
within,features,all,9,1,0.8188,0.8356
within,features,pca,9,1,0.7623,0.7802
within,features,relieff,9,1,0.7325,0.7519
within,features,all,10,1,0.8149,0.8341
within,features,pca,10,1,0.7708,0.7895
within,features,relieff,10,1,0.7473,0.7681
