split,dataset,scenario,iteration,k,f1_score,accuracy
within,features,all,1,1,0.8013,0.8215
within,features,all,1,3,0.7940,0.8115
within,features,all,1,5,0.7890,0.8053
within,features,all,1,7,0.7896,0.8062
within,features,all,1,9,0.7893,0.8056
within,features,all,1,11,0.7861,0.8016
within,features,all,1,13,0.7813,0.7991
within,features,all,1,15,0.7802,0.7975
within,features,all,1,17,0.7757,0.7936
within,features,all,1,19,0.7782,0.7949
within,features,pca,1,1,0.7455,0.7649
within,features,pca,1,3,0.7373,0.7562
within,features,pca,1,5,0.7367,0.7525
within,features,pca,1,7,0.7314,0.7476
within,features,pca,1,9,0.7305,0.7485
within,features,pca,1,11,0.7268,0.7447
within,features,pca,1,13,0.7234,0.7422
within,features,pca,1,15,0.7233,0.7416
within,features,pca,1,17,0.7189,0.7371
within,features,pca,1,19,0.7179,0.7362
within,features,relieff,1,1,0.7496,0.7664
within,features,relieff,1,3,0.7425,0.7556
within,features,relieff,1,5,0.7414,0.7558
within,features,relieff,1,7,0.7352,0.7498
within,features,relieff,1,9,0.7371,0.7505
within,features,relieff,1,11,0.7344,0.7471
within,features,relieff,1,13,0.7323,0.7460
within,features,relieff,1,15,0.7265,0.7411
within,features,relieff,1,17,0.7177,0.7331
within,features,relieff,1,19,0.7206,0.7340
within,features,all,2,1,0.8087,0.8284
within,features,all,2,3,0.8011,0.8229
within,features,all,2,5,0.7910,0.8116
within,features,all,2,7,0.7893,0.8113
within,features,all,2,9,0.7916,0.8131
within,features,all,2,11,0.7833,0.8058
within,features,all,2,13,0.7823,0.8047
within,features,all,2,15,0.7836,0.8058
within,features,all,2,17,0.7841,0.8062
within,features,all,2,19,0.7826,0.8033
within,features,pca,2,1,0.7587,0.7785
within,features,pca,2,3,0.7489,0.7707
within,features,pca,2,5,0.7443,0.7651
within,features,pca,2,7,0.7418,0.7640
within,features,pca,2,9,0.7357,0.7565
within,features,pca,2,11,0.7303,0.7505
within,features,pca,2,13,0.7320,0.7505
within,features,pca,2,15,0.7271,0.7471
within,features,pca,2,17,0.7223,0.7418
within,features,pca,2,19,0.7194,0.7387
within,features,relieff,2,1,0.7078,0.7262
within,features,relieff,2,3,0.6965,0.7129
within,features,relieff,2,5,0.6870,0.7042
within,features,relieff,2,7,0.6837,0.7000
within,features,relieff,2,9,0.6824,0.6993
within,features,relieff,2,11,0.6816,0.6982
within,features,relieff,2,13,0.6756,0.6911
within,features,relieff,2,15,0.6707,0.6856
within,features,relieff,2,17,0.6648,0.6791
within,features,relieff,2,19,0.6621,0.6771
within,features,all,3,1,0.8091,0.8271
within,features,all,3,3,0.8023,0.8191
within,features,all,3,5,0.7984,0.8140
within,features,all,3,7,0.7991,0.8144
within,features,all,3,9,0.8013,0.8180
within,features,all,3,11,0.7999,0.8158
within,features,all,3,13,0.7975,0.8144
within,features,all,3,15,0.7955,0.8111
within,features,all,3,17,0.7905,0.8069
within,features,all,3,19,0.7875,0.8035
within,features,pca,3,1,0.7606,0.7793
within,features,pca,3,3,0.7531,0.7700
within,features,pca,3,5,0.7476,0.7638
within,features,pca,3,7,0.7439,0.7604
within,features,pca,3,9,0.7401,0.7560
within,features,pca,3,11,0.7397,0.7569
within,features,pca,3,13,0.7390,0.7562
within,features,pca,3,15,0.7347,0.7513
within,features,pca,3,17,0.7334,0.7513
within,features,pca,3,19,0.7254,0.7429
within,features,relieff,3,1,0.7199,0.7380
within,features,relieff,3,3,0.7183,0.7329
within,features,relieff,3,5,0.7117,0.7282
within,features,relieff,3,7,0.7077,0.7222
within,features,relieff,3,9,0.7058,0.7209
within,features,relieff,3,11,0.6999,0.7147
within,features,relieff,3,13,0.7088,0.7231
within,features,relieff,3,15,0.7029,0.7173
within,features,relieff,3,17,0.7004,0.7155
within,features,relieff,3,19,0.6988,0.7133
within,features,all,4,1,0.8062,0.8256
within,features,all,4,3,0.8063,0.8235
within,features,all,4,5,0.8090,0.8251
within,features,all,4,7,0.8017,0.8187
within,features,all,4,9,0.7961,0.8129
within,features,all,4,11,0.8021,0.8175
within,features,all,4,13,0.7937,0.8100
